2022-10-19 09:28:55 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-10-19 09:28:55 [main] INFO  c.o.config.server.ConfigServer - Starting ConfigServer using Java 11.0.16 on Remys-MacBook-Air.local with PID 10210 (/Users/rmumo/Documents/microservices/eventdrivenmicroservices/config-server/target/classes started by rmumo in /Users/rmumo/Documents/microservices/eventdrivenmicroservices)
2022-10-19 09:28:55 [main] INFO  c.o.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-10-19 09:28:55 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2022-10-19 09:28:55 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=167e8eaa-49e5-32a1-97ef-d5f267f520a4
2022-10-19 09:28:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-10-19 09:28:56 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-10-19 09:28:56 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 09:28:56 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2022-10-19 09:28:56 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-19 09:28:56 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 765 ms
2022-10-19 09:28:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2022-10-19 09:28:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2022-10-19 09:28:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2022-10-19 09:28:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@14993306, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d172c7, org.springframework.security.web.header.HeaderWriterFilter@32d1d6c5, org.springframework.security.web.csrf.CsrfFilter@5e8bd498, org.springframework.security.web.authentication.logout.LogoutFilter@34070bd2, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@9f2fe2e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@56a09a5c, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@73ae82da, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@66944c7c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@8ce3f27, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12723c5d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6866e740, org.springframework.security.web.session.SessionManagementFilter@58583a2d, org.springframework.security.web.access.ExceptionTranslationFilter@6b289535, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@73a5d86c]
2022-10-19 09:28:59 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2022-10-19 09:28:59 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-10-19 09:28:59 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-10-19 09:28:59 [main] INFO  c.o.config.server.ConfigServer - Started ConfigServer in 4.999 seconds (JVM running for 10.546)
2022-10-19 09:28:59 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2022-10-19 09:28:59 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2022-10-19 09:29:00 [RMI TCP Connection(8)-192.168.100.143] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-19 09:29:00 [RMI TCP Connection(8)-192.168.100.143] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-19 09:29:00 [RMI TCP Connection(8)-192.168.100.143] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2022-10-19 09:45:40 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/config-client-kafka_to_elastic.yml]' via location 'file:/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/'
2022-10-19 09:45:40 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/config-client.yml]' via location 'file:/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/'
2022-10-19 09:46:19 [http-nio-8888-exec-9] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/config-client-kafka_to_elastic.yml]' via location 'file:/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/'
2022-10-19 09:46:19 [http-nio-8888-exec-9] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/config-client.yml]' via location 'file:/var/folders/84/lxxc5_r10wq79pqcyp_w8rt80000gn/T/config-repo-16009232947145837659/'
